"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","844599","","GLADIATOR - OFF WHITE","200","OK","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-tab_collection_owl_yhHhAD']/div/div[@class='tab_se_wrap']/div[@class='tab_se_content']/div[@id='collection_WRXAw6'][1]/div/div[6]/div/div[2]/h3/a","Content","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","844599","","Skip to content","200","OK","Crawlable","true","","","Path-Relative","//body/a[1]","Content","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","844599","","FEATURED","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_rBEA6m']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","844599","","Shop by category","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","844599","","Shop by Collection","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","844599","","All Clothing","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_EMEyAE']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","844599","","Featured","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_EbVAiN']/div/div/div/div[@id='bk_link_DwDfUa']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","844599","","Shop by category","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_EbVAiN']/div/div/div/div[@id='bk_link_QRmtMT']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","844599","","Shop by Collection","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_EbVAiN']/div/div/div/div[@id='bk_link_W4LcJA']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","844599","","All Clothing","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_EbVAiN']/div/div/div/div[@id='bk_link_KL8kyk']/a","Navigation","HTML"
